seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,route_fallbacks,route_switches,route_history,daily_cash,field_counts,market_counts,market_quantities,candidate,opponent,v009_state
17,0,139270.0,3484.0,135786.0,win,DONE,DONE,1,719,0,0,0.599167,1.0859205000000003,1.2623624400000006,1.530542,2.213300290997722,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10293.0, ""11"": 12820.0, ""12"": 12500.0, ""13"": 17785.0, ""14"": 18090.0, ""15"": 19803.0, ""16"": 28532.0, ""17"": 31246.0, ""18"": 35501.0, ""19"": 43276.0, ""2"": 91.0, ""20"": 60700.0, ""21"": 76193.0, ""22"": 80610.0, ""23"": 86196.0, ""24"": 92942.0, ""25"": 106439.0, ""26"": 108781.0, ""27"": 122006.0, ""28"": 135363.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 737.0, ""7"": 226.0, ""8"": 516.0, ""9"": 1705.0}","{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 273, ""DIG"": 17, ""DROP"": 86, ""EAST"": 943, ""FEED"": 260, ""HARVEST"": 203, ""NORTH"": 1323, ""PASS"": 1661, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 908, ""WATER"": 740, ""WEST"": 1141}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 51, ""HIRE"": 321, ""SELL"": 187}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 537, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 273, ""SELL:MELON"": 120, ""SELL:MILK"": 224, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 81}",current,starter,{}
17,1,138229.0,3499.0,134730.0,win,DONE,DONE,1,719,0,0,0.600709,1.0926372,1.32009188,29.363,2.212761500006309,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10272.0, ""11"": 13228.0, ""12"": 13076.0, ""13"": 18237.0, ""14"": 21217.0, ""15"": 22884.0, ""16"": 27855.0, ""17"": 32786.0, ""18"": 35237.0, ""19"": 45509.0, ""2"": 91.0, ""20"": 61121.0, ""21"": 71970.0, ""22"": 80631.0, ""23"": 86446.0, ""24"": 90300.0, ""25"": 93860.0, ""26"": 104170.0, ""27"": 119104.0, ""28"": 133033.0, ""3"": 107.0, ""4"": 81.0, ""5"": 255.0, ""6"": 731.0, ""7"": 163.0, ""8"": 504.0, ""9"": 1913.0}","{""BUILD_PASTURE"": 12, ""CARE"": 239, ""COLLECT_FERTILIZER"": 271, ""DIG"": 15, ""DROP"": 88, ""EAST"": 952, ""FEED"": 259, ""HARVEST"": 212, ""NORTH"": 1357, ""PASS"": 1600, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 108, ""SOUTH"": 949, ""WATER"": 744, ""WEST"": 1121}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 216, ""BUY_SEED"": 59, ""HIRE"": 322, ""SELL"": 192}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 551, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 39, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 119, ""SELL:MILK"": 177, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 420, ""SELL:WOOL"": 130}",current,starter,{}
42,0,139426.0,3495.0,135931.0,win,DONE,DONE,1,719,0,0,0.595292,1.0988791,1.2372519400000008,1.58275,2.194284291996155,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 8215.0, ""11"": 13125.0, ""12"": 15419.0, ""13"": 18167.0, ""14"": 18633.0, ""15"": 20532.0, ""16"": 28678.0, ""17"": 31673.0, ""18"": 33402.0, ""19"": 43859.0, ""2"": 91.0, ""20"": 61210.0, ""21"": 79244.0, ""22"": 81171.0, ""23"": 85417.0, ""24"": 93338.0, ""25"": 107875.0, ""26"": 110654.0, ""27"": 121636.0, ""28"": 135354.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 739.0, ""7"": 127.0, ""8"": 1892.0, ""9"": 1826.0}","{""BUILD_PASTURE"": 12, ""CARE"": 240, ""COLLECT_FERTILIZER"": 272, ""DIG"": 25, ""DROP"": 91, ""EAST"": 921, ""FEED"": 264, ""HARVEST"": 201, ""NORTH"": 1301, ""PASS"": 1636, ""PICKUP"": 65, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 1004, ""WATER"": 728, ""WEST"": 1096}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 48, ""HIRE"": 320, ""SELL"": 180}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 530, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 119, ""SELL:MILK"": 246, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 389, ""SELL:WOOL"": 68}",current,starter,{}
42,1,140738.0,3497.0,137241.0,win,DONE,DONE,1,719,0,0,0.584542,1.1060215,1.3262293200000002,31.864917,2.2289400000008754,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 8298.0, ""11"": 13105.0, ""12"": 12816.0, ""13"": 18291.0, ""14"": 18594.0, ""15"": 20450.0, ""16"": 25606.0, ""17"": 30256.0, ""18"": 34349.0, ""19"": 46117.0, ""2"": 91.0, ""20"": 62538.0, ""21"": 78254.0, ""22"": 84490.0, ""23"": 86343.0, ""24"": 92825.0, ""25"": 103379.0, ""26"": 112693.0, ""27"": 122642.0, ""28"": 136963.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 739.0, ""7"": 222.0, ""8"": 1794.0, ""9"": 1857.0}","{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 274, ""DIG"": 19, ""DROP"": 88, ""EAST"": 908, ""FEED"": 261, ""HARVEST"": 200, ""NORTH"": 1344, ""PASS"": 1680, ""PICKUP"": 65, ""PLACE"": 12, ""PLANT"": 98, ""SOUTH"": 952, ""WATER"": 745, ""WEST"": 1073}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 214, ""BUY_SEED"": 42, ""HIRE"": 320, ""SELL"": 184}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 538, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 32, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 119, ""SELL:MILK"": 239, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 391, ""SELL:WOOL"": 64}",current,starter,{}
2026,0,136263.0,3493.0,132770.0,win,DONE,DONE,1,719,0,0,0.607084,1.0677333,1.2582040000000005,1.60625,2.189442708004208,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10761.0, ""11"": 12261.0, ""12"": 12339.0, ""13"": 17249.0, ""14"": 20508.0, ""15"": 23425.0, ""16"": 26801.0, ""17"": 31634.0, ""18"": 34780.0, ""19"": 45856.0, ""2"": 91.0, ""20"": 61046.0, ""21"": 70844.0, ""22"": 79342.0, ""23"": 85416.0, ""24"": 87988.0, ""25"": 98269.0, ""26"": 108969.0, ""27"": 116530.0, ""28"": 131349.0, ""3"": 107.0, ""4"": 81.0, ""5"": 255.0, ""6"": 731.0, ""7"": 104.0, ""8"": 263.0, ""9"": 1396.0}","{""BUILD_PASTURE"": 12, ""CARE"": 242, ""COLLECT_FERTILIZER"": 267, ""DIG"": 17, ""DROP"": 88, ""EAST"": 900, ""FEED"": 263, ""HARVEST"": 202, ""NORTH"": 1334, ""PASS"": 1661, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 107, ""SOUTH"": 1015, ""WATER"": 753, ""WEST"": 1128}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 206, ""BUY_SEED"": 56, ""HIRE"": 325, ""SELL"": 197}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 537, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 41, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 267, ""SELL:MELON"": 119, ""SELL:MILK"": 131, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 407, ""SELL:WOOL"": 178}",current,starter,{}
2026,1,135325.0,3493.0,131832.0,win,DONE,DONE,1,719,0,0,0.602708,1.0948625,1.27601882,1.513459,2.22176162499818,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10761.0, ""11"": 12261.0, ""12"": 12339.0, ""13"": 17249.0, ""14"": 20468.0, ""15"": 23384.0, ""16"": 26853.0, ""17"": 31603.0, ""18"": 33356.0, ""19"": 40289.0, ""2"": 91.0, ""20"": 58512.0, ""21"": 66501.0, ""22"": 76326.0, ""23"": 82272.0, ""24"": 86940.0, ""25"": 95440.0, ""26"": 105159.0, ""27"": 116154.0, ""28"": 131413.0, ""3"": 107.0, ""4"": 81.0, ""5"": 255.0, ""6"": 731.0, ""7"": 104.0, ""8"": 263.0, ""9"": 1396.0}","{""BUILD_PASTURE"": 12, ""CARE"": 245, ""COLLECT_FERTILIZER"": 273, ""DIG"": 17, ""DROP"": 79, ""EAST"": 903, ""FEED"": 260, ""HARVEST"": 201, ""NORTH"": 1300, ""PASS"": 1670, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 106, ""SOUTH"": 995, ""WATER"": 759, ""WEST"": 1120}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 200, ""BUY_SEED"": 56, ""HIRE"": 323, ""SELL"": 193}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 523, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 273, ""SELL:MELON"": 119, ""SELL:MILK"": 126, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 393, ""SELL:WOOL"": 176}",current,starter,{}
217,0,134591.0,3497.0,131094.0,win,DONE,DONE,1,719,0,0,0.593041,1.0899419000000004,1.2897554999999998,32.239208,2.2083771670004353,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 9645.0, ""11"": 12874.0, ""12"": 12623.0, ""13"": 17989.0, ""14"": 18335.0, ""15"": 20096.0, ""16"": 25438.0, ""17"": 30884.0, ""18"": 37163.0, ""19"": 44128.0, ""2"": 91.0, ""20"": 57581.0, ""21"": 76911.0, ""22"": 78846.0, ""23"": 83750.0, ""24"": 92764.0, ""25"": 101678.0, ""26"": 107120.0, ""27"": 117903.0, ""28"": 130929.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 739.0, ""7"": 222.0, ""8"": 1794.0, ""9"": 1846.0}","{""BUILD_PASTURE"": 12, ""CARE"": 245, ""COLLECT_FERTILIZER"": 274, ""DIG"": 22, ""DROP"": 82, ""EAST"": 897, ""FEED"": 262, ""HARVEST"": 198, ""NORTH"": 1318, ""PASS"": 1647, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 99, ""SOUTH"": 944, ""WATER"": 749, ""WEST"": 1116}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 207, ""BUY_SEED"": 49, ""HIRE"": 319, ""SELL"": 181}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 540, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 120, ""SELL:MILK"": 231, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 402, ""SELL:WOOL"": 78}",current,starter,{}
217,1,140567.0,3477.0,137090.0,win,DONE,DONE,1,719,0,0,0.604458,1.0866211,1.2818680600000016,10.866959,2.239866083000379,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10492.0, ""11"": 13015.0, ""12"": 15683.0, ""13"": 18265.0, ""14"": 18586.0, ""15"": 24558.0, ""16"": 25807.0, ""17"": 31509.0, ""18"": 38645.0, ""19"": 43574.0, ""2"": 91.0, ""20"": 63105.0, ""21"": 76821.0, ""22"": 81592.0, ""23"": 86388.0, ""24"": 96621.0, ""25"": 102451.0, ""26"": 110608.0, ""27"": 122176.0, ""28"": 135629.0, ""3"": 107.0, ""4"": 81.0, ""5"": 255.0, ""6"": 731.0, ""7"": 138.0, ""8"": 664.0, ""9"": 1960.0}","{""BUILD_PASTURE"": 12, ""CARE"": 242, ""COLLECT_FERTILIZER"": 272, ""DIG"": 24, ""DROP"": 92, ""EAST"": 945, ""FEED"": 260, ""HARVEST"": 198, ""NORTH"": 1345, ""PASS"": 1590, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 990, ""WATER"": 731, ""WEST"": 1128}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 216, ""BUY_SEED"": 46, ""HIRE"": 322, ""SELL"": 196}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 532, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 119, ""SELL:MILK"": 208, ""SELL:STRAWBERRY"": 122, ""SELL:WHEAT"": 389, ""SELL:WOOL"": 96}",current,starter,{}
317,0,132023.0,3475.0,128548.0,win,DONE,DONE,1,719,0,0,0.57375,1.0892125000000001,1.2696718200000001,1.550542,2.1767042499996023,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 9731.0, ""11"": 12760.0, ""12"": 12509.0, ""13"": 17969.0, ""14"": 18315.0, ""15"": 19871.0, ""16"": 25491.0, ""17"": 30918.0, ""18"": 38970.0, ""19"": 43906.0, ""2"": 91.0, ""20"": 59012.0, ""21"": 74664.0, ""22"": 78934.0, ""23"": 81055.0, ""24"": 91323.0, ""25"": 97169.0, ""26"": 108737.0, ""27"": 115098.0, ""28"": 128671.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 739.0, ""7"": 222.0, ""8"": 1794.0, ""9"": 1846.0}","{""BUILD_PASTURE"": 12, ""CARE"": 248, ""COLLECT_FERTILIZER"": 274, ""DIG"": 28, ""DROP"": 75, ""EAST"": 911, ""FEED"": 258, ""HARVEST"": 195, ""NORTH"": 1271, ""PASS"": 1705, ""PICKUP"": 65, ""PLACE"": 12, ""PLANT"": 99, ""SOUTH"": 917, ""WATER"": 755, ""WEST"": 1098}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 205, ""BUY_SEED"": 44, ""HIRE"": 318, ""SELL"": 172}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 533, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 120, ""SELL:MILK"": 187, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 395, ""SELL:WOOL"": 114}",current,starter,{}
317,1,132121.0,3475.0,128646.0,win,DONE,DONE,1,719,0,0,0.569875,1.0919955,1.2639155000000002,1.451583,2.201540333000594,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 9731.0, ""11"": 12760.0, ""12"": 12509.0, ""13"": 17969.0, ""14"": 18315.0, ""15"": 19871.0, ""16"": 25491.0, ""17"": 30918.0, ""18"": 38970.0, ""19"": 43906.0, ""2"": 91.0, ""20"": 59012.0, ""21"": 74664.0, ""22"": 78934.0, ""23"": 81055.0, ""24"": 91323.0, ""25"": 97169.0, ""26"": 107752.0, ""27"": 115186.0, ""28"": 128721.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 739.0, ""7"": 222.0, ""8"": 1794.0, ""9"": 1846.0}","{""BUILD_PASTURE"": 12, ""CARE"": 250, ""COLLECT_FERTILIZER"": 274, ""DIG"": 29, ""DROP"": 76, ""EAST"": 921, ""FEED"": 258, ""HARVEST"": 195, ""NORTH"": 1283, ""PASS"": 1656, ""PICKUP"": 65, ""PLACE"": 12, ""PLANT"": 100, ""SOUTH"": 932, ""WATER"": 759, ""WEST"": 1101}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 204, ""BUY_SEED"": 44, ""HIRE"": 318, ""SELL"": 180}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 531, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 120, ""SELL:MILK"": 187, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 114}",current,starter,{}
733,0,135613.0,3505.0,132108.0,win,DONE,DONE,1,719,0,0,0.601958,1.1141878,1.2561105600000018,1.471042,2.1841735420020996,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 9686.0, ""11"": 13053.0, ""12"": 12822.0, ""13"": 18306.0, ""14"": 18666.0, ""15"": 20337.0, ""16"": 26122.0, ""17"": 31806.0, ""18"": 36007.0, ""19"": 44284.0, ""2"": 91.0, ""20"": 59503.0, ""21"": 78306.0, ""22"": 81062.0, ""23"": 85511.0, ""24"": 95212.0, ""25"": 106530.0, ""26"": 113352.0, ""27"": 119396.0, ""28"": 132811.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 737.0, ""7"": 226.0, ""8"": 1808.0, ""9"": 1870.0}","{""BUILD_PASTURE"": 12, ""CARE"": 233, ""COLLECT_FERTILIZER"": 269, ""DIG"": 18, ""DROP"": 79, ""EAST"": 902, ""FEED"": 259, ""HARVEST"": 204, ""NORTH"": 1332, ""PASS"": 1677, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 949, ""WATER"": 745, ""WEST"": 1108}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 210, ""BUY_SEED"": 44, ""HIRE"": 320, ""SELL"": 175}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 538, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 34, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 120, ""SELL:MILK"": 241, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 401, ""SELL:WOOL"": 66}",current,starter,{}
733,1,136662.0,3505.0,133157.0,win,DONE,DONE,1,719,0,0,0.590208,1.0906503,1.2652155600000001,1.422083,2.17545883400453,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 9686.0, ""11"": 13053.0, ""12"": 12822.0, ""13"": 18306.0, ""14"": 18627.0, ""15"": 23421.0, ""16"": 25952.0, ""17"": 31677.0, ""18"": 35134.0, ""19"": 44150.0, ""2"": 91.0, ""20"": 59632.0, ""21"": 81204.0, ""22"": 80923.0, ""23"": 85369.0, ""24"": 94077.0, ""25"": 104236.0, ""26"": 111564.0, ""27"": 121000.0, ""28"": 133588.0, ""3"": 107.0, ""4"": 110.0, ""5"": 256.0, ""6"": 737.0, ""7"": 226.0, ""8"": 1808.0, ""9"": 1870.0}","{""BUILD_PASTURE"": 12, ""CARE"": 241, ""COLLECT_FERTILIZER"": 273, ""DIG"": 15, ""DROP"": 84, ""EAST"": 921, ""FEED"": 259, ""HARVEST"": 203, ""NORTH"": 1313, ""PASS"": 1686, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 909, ""WATER"": 751, ""WEST"": 1123}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 214, ""BUY_SEED"": 46, ""HIRE"": 320, ""SELL"": 173}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 532, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 273, ""SELL:MELON"": 120, ""SELL:MILK"": 243, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 391, ""SELL:WOOL"": 68}",current,starter,{}
17,0,133079.0,0.0,133079.0,win,DONE,DONE,1,719,0,0,0.615042,1.1054291,1.26619306,1.420041,2.273802458999853,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10772.0, ""11"": 12279.0, ""12"": 12373.0, ""13"": 17327.0, ""14"": 20613.0, ""15"": 23586.0, ""16"": 27066.0, ""17"": 31765.0, ""18"": 36788.0, ""19"": 42359.0, ""2"": 91.0, ""20"": 59983.0, ""21"": 65410.0, ""22"": 74387.0, ""23"": 81361.0, ""24"": 87858.0, ""25"": 95513.0, ""26"": 104077.0, ""27"": 113493.0, ""28"": 129596.0, ""3"": 107.0, ""4"": 81.0, ""5"": 255.0, ""6"": 733.0, ""7"": 106.0, ""8"": 265.0, ""9"": 1409.0}","{""BUILD_PASTURE"": 12, ""CARE"": 242, ""COLLECT_FERTILIZER"": 267, ""DIG"": 20, ""DROP"": 81, ""EAST"": 954, ""FEED"": 260, ""HARVEST"": 203, ""NORTH"": 1309, ""PASS"": 1653, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 106, ""SOUTH"": 951, ""WATER"": 740, ""WEST"": 1163}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 220, ""BUY_SEED"": 54, ""HIRE"": 324, ""SELL"": 191}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 538, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 39, ""SELL:FERTILIZER"": 267, ""SELL:MELON"": 119, ""SELL:MILK"": 132, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 404, ""SELL:WOOL"": 174}",current,random,{}
17,1,136040.0,0.0,136040.0,win,DONE,DONE,1,719,0,0,0.614958,1.1311746999999999,1.3454150000000002,1.469084,2.299228416995902,0,0,[],"{""0"": 98.0, ""1"": 87.0, ""10"": 10524.0, ""11"": 13476.0, ""12"": 13258.0, ""13"": 21158.0, ""14"": 21487.0, ""15"": 23152.0, ""16"": 28326.0, ""17"": 33532.0, ""18"": 33813.0, ""19"": 40518.0, ""2"": 91.0, ""20"": 62919.0, ""21"": 66065.0, ""22"": 82033.0, ""23"": 86095.0, ""24"": 89833.0, ""25"": 95077.0, ""26"": 101736.0, ""27"": 118333.0, ""28"": 131070.0, ""3"": 107.0, ""4"": 81.0, ""5"": 255.0, ""6"": 732.0, ""7"": 173.0, ""8"": 1623.0, ""9"": 2060.0}","{""BUILD_PASTURE"": 12, ""CARE"": 245, ""COLLECT_FERTILIZER"": 268, ""DIG"": 16, ""DROP"": 94, ""EAST"": 939, ""FEED"": 250, ""HARVEST"": 202, ""NORTH"": 1344, ""PASS"": 1613, ""PICKUP"": 68, ""PLACE"": 12, ""PLANT"": 107, ""SOUTH"": 952, ""WATER"": 722, ""WEST"": 1161}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 210, ""BUY_SEED"": 56, ""HIRE"": 322, ""SELL"": 184}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 596, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 268, ""SELL:MELON"": 119, ""SELL:MILK"": 169, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 457, ""SELL:WOOL"": 129}",current,random,{}
