episode,seed,seat,variant,opponent_style,candidate_money,opponent_money,margin,result,game_done,wall_seconds,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,field_counts,market_counts,market_quantities,actual_MELON_requested,actual_MELON_filled,actual_MELON_revenue,actual_MELON_floor_units,actual_MELON_weighted_price,actual_STRAWBERRY_requested,actual_STRAWBERRY_filled,actual_STRAWBERRY_revenue,actual_STRAWBERRY_floor_units,actual_STRAWBERRY_weighted_price,actual_MILK_requested,actual_MILK_filled,actual_MILK_revenue,actual_MILK_floor_units,actual_MILK_weighted_price,actual_WOOL_requested,actual_WOOL_filled,actual_WOOL_revenue,actual_WOOL_floor_units,actual_WOOL_weighted_price,control_margin,delta_vs_control,expert
90104951,802179968,0,control_v012,standard_converged,103697.0,110969.0,-7272.0,loss,1,2.6438512500026263,719,0,0,0.008291,0.043303500000000036,0.06652362000000005,0.16,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 437, ""SELL:MELON"": 224, ""SELL:MILK"": 614, ""SELL:STRAWBERRY"": 567, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 354}",224,68,13559.0,0,199.39705882352942,567,215,46412.0,0,215.86976744186046,614,183,10727.0,0,58.61748633879781,354,99,6212.0,37,62.74747474747475,-7272.0,0.0,
90104951,802179968,0,fixed_mohit,standard_converged,103469.0,111219.0,-7750.0,loss,1,2.613756833001389,719,0,0,0.009708,0.04634590000000005,0.06923944000000001,0.248625,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 469}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 216, ""SELL:MILK"": 642, ""SELL:STRAWBERRY"": 609, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 349}",216,68,13559.0,0,199.39705882352942,609,213,46042.0,0,216.15962441314554,642,184,10803.0,0,58.71195652173913,349,99,6261.0,39,63.24242424242424,-7272.0,-478.0,mohit
90104951,802179968,0,fixed_automatylicza,standard_converged,103698.0,111661.0,-7963.0,loss,1,2.6347710830013966,719,0,0,0.009625,0.0453381,0.06683756000000002,0.159333,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",224,68,13559.0,0,199.39705882352942,636,213,46036.0,0,216.13145539906102,682,183,10992.0,2,60.0655737704918,373,99,6198.0,39,62.60606060606061,-7272.0,-691.0,automatylicza
90104951,802179968,0,fixed_manual_player,standard_converged,104217.0,111317.0,-7100.0,loss,1,2.642018625003402,719,0,0,0.009958,0.047420900000000016,0.07053362,0.173333,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 440}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 215, ""SELL:MILK"": 560, ""SELL:STRAWBERRY"": 550, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 323}",215,68,13515.0,0,198.75,550,213,46117.0,0,216.5117370892019,560,186,11103.0,0,59.693548387096776,323,99,6901.0,37,69.70707070707071,-7272.0,172.0,manual_player
90104951,802179968,0,fixed_navazsh_fathi,standard_converged,105998.0,110540.0,-4542.0,loss,1,2.646497333989828,719,0,0,0.010208,0.051554200000000015,0.07464068000000001,0.23225,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 377}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 406, ""SELL:MELON"": 182, ""SELL:MILK"": 413, ""SELL:STRAWBERRY"": 390, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 251}",182,68,13585.0,0,199.77941176470588,390,217,47152.0,0,217.29032258064515,413,186,12625.0,0,67.8763440860215,251,100,7079.0,33,70.79,-7272.0,2730.0,navazsh_fathi
90104951,802179968,0,fixed_lucien_de_rubempre,standard_converged,102341.0,108142.0,-5801.0,loss,1,2.642678500007605,719,0,0,0.010084,0.048841300000000004,0.07001988000000003,0.183709,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 418}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 406, ""SELL:MELON"": 197, ""SELL:MILK"": 543, ""SELL:STRAWBERRY"": 536, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 300}",197,68,13585.0,0,199.77941176470588,536,215,44946.0,0,209.05116279069767,543,184,11472.0,0,62.34782608695652,300,99,6398.0,33,64.62626262626263,-7272.0,1471.0,lucien_de_rubempre
90104951,802179968,1,control_v012,standard_converged,148168.0,22578.0,125590.0,win,1,2.6233087919972604,719,0,20,0.008,0.04210800000000001,0.06673506000000001,0.165542,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",224,68,15788.0,0,232.1764705882353,636,212,52789.0,0,249.00471698113208,682,159,30143.0,0,189.57861635220127,373,99,11418.0,14,115.33333333333333,125590.0,0.0,
90104951,802179968,1,fixed_mohit,standard_converged,148326.0,21239.0,127087.0,win,1,2.629762041004142,719,0,20,0.009917,0.04390410000000001,0.06944306000000001,0.222209,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 469}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 216, ""SELL:MILK"": 642, ""SELL:STRAWBERRY"": 609, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 349}",216,68,15780.0,0,232.05882352941177,609,212,52877.0,0,249.41981132075472,642,160,30480.0,0,190.5,349,99,11383.0,15,114.97979797979798,125590.0,1497.0,mohit
90104951,802179968,1,fixed_automatylicza,standard_converged,148168.0,22578.0,125590.0,win,1,2.6276629169879016,719,0,20,0.009625,0.043225300000000015,0.06778062000000001,0.208166,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",224,68,15788.0,0,232.1764705882353,636,212,52789.0,0,249.00471698113208,682,159,30143.0,0,189.57861635220127,373,99,11418.0,14,115.33333333333333,125590.0,0.0,automatylicza
90104951,802179968,1,fixed_manual_player,standard_converged,148768.0,20095.0,128673.0,win,1,2.631252791004954,719,0,20,0.009917,0.044171100000000005,0.06754556000000002,0.206167,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 440}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 215, ""SELL:MILK"": 560, ""SELL:STRAWBERRY"": 550, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 323}",215,68,15780.0,0,232.05882352941177,550,212,52929.0,0,249.66509433962264,560,162,30727.0,0,189.67283950617283,323,99,11579.0,16,116.95959595959596,125590.0,3083.0,manual_player
90104951,802179968,1,fixed_navazsh_fathi,standard_converged,152679.0,20021.0,132658.0,win,1,2.62914470800024,719,0,0,0.009916,0.044,0.06928818000000002,0.195416,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 377}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 406, ""SELL:MELON"": 182, ""SELL:MILK"": 413, ""SELL:STRAWBERRY"": 390, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 251}",182,68,15840.0,0,232.94117647058823,390,220,56279.0,0,255.81363636363636,413,159,30507.0,0,191.8679245283019,251,99,12424.0,12,125.4949494949495,125590.0,7068.0,navazsh_fathi
90104951,802179968,1,fixed_lucien_de_rubempre,standard_converged,151100.0,21470.0,129630.0,win,1,2.62367220800661,719,0,20,0.009791,0.04592120000000006,0.06795256000000005,0.215291,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 418}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 406, ""SELL:MELON"": 197, ""SELL:MILK"": 543, ""SELL:STRAWBERRY"": 536, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 300}",197,68,15756.0,0,231.7058823529412,536,219,54722.0,0,249.87214611872147,543,160,30724.0,0,192.025,300,99,12381.0,8,125.06060606060606,125590.0,4040.0,lucien_de_rubempre
90106933,82539666,0,control_v012,standard_converged,111622.0,116048.0,-4426.0,loss,1,2.6698688750038855,719,0,0,0.008208,0.04830900000000002,0.08202006000000067,0.219917,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 437, ""SELL:MELON"": 224, ""SELL:MILK"": 614, ""SELL:STRAWBERRY"": 567, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 354}",224,62,12170.0,0,196.29032258064515,567,221,32818.0,0,148.49773755656108,614,183,28808.0,0,157.4207650273224,354,100,10000.0,16,100.0,-4426.0,0.0,
90106933,82539666,0,fixed_mohit,standard_converged,111994.0,117073.0,-5079.0,loss,1,2.6758695419994183,719,0,0,0.010042,0.047312200000000026,0.06868632000000002,0.23475,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 469}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 216, ""SELL:MILK"": 642, ""SELL:STRAWBERRY"": 609, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 349}",216,62,12170.0,0,196.29032258064515,609,216,32992.0,0,152.74074074074073,642,184,29041.0,0,157.83152173913044,349,100,9986.0,18,99.86,-4426.0,-653.0,mohit
90106933,82539666,0,fixed_automatylicza,standard_converged,111728.0,116918.0,-5190.0,loss,1,2.665197750000516,719,0,0,0.00975,0.049591300000000005,0.08306512000000074,0.247291,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",224,62,12170.0,0,196.29032258064515,636,216,32987.0,0,152.71759259259258,682,183,28637.0,0,156.4863387978142,373,100,9986.0,18,99.86,-4426.0,-764.0,automatylicza
90106933,82539666,0,fixed_manual_player,standard_converged,112849.0,117081.0,-4232.0,loss,1,2.676443582997308,719,0,0,0.01,0.04790840000000004,0.07433626000000028,0.211,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 440}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 215, ""SELL:MILK"": 560, ""SELL:STRAWBERRY"": 550, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 323}",215,62,12170.0,0,196.29032258064515,550,216,33250.0,0,153.9351851851852,560,186,29586.0,0,159.06451612903226,323,100,10410.0,17,104.1,-4426.0,194.0,manual_player
90106933,82539666,0,fixed_navazsh_fathi,standard_converged,114626.0,116071.0,-1445.0,loss,1,2.6551738330017542,719,0,0,0.009833,0.046092000000000015,0.07083194000000005,0.239667,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 377}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 406, ""SELL:MELON"": 182, ""SELL:MILK"": 413, ""SELL:STRAWBERRY"": 390, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 251}",182,62,12206.0,0,196.8709677419355,390,223,34253.0,0,153.60089686098655,413,183,30663.0,0,167.55737704918033,251,100,11038.0,10,110.38,-4426.0,2981.0,navazsh_fathi
90106933,82539666,0,fixed_lucien_de_rubempre,standard_converged,113424.0,115874.0,-2450.0,loss,1,2.685547291999683,719,0,0,0.010541,0.05856700000000001,0.1077030600000009,0.253583,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 418}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 406, ""SELL:MELON"": 197, ""SELL:MILK"": 543, ""SELL:STRAWBERRY"": 536, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 300}",197,62,12206.0,0,196.8709677419355,536,221,33277.0,0,150.57466063348417,543,184,29805.0,0,161.9836956521739,300,100,10861.0,12,108.61,-4426.0,1976.0,lucien_de_rubempre
